nbp,iteration,calc_transfer_s,display_s
1,0,0.024725,0.006650
1,1,0.024085,0.005989
1,2,0.024622,0.005849
1,3,0.024086,0.005986
1,4,0.024047,0.005883
1,5,0.024424,0.006113
1,6,0.024158,0.005934
1,7,0.024917,0.005913
1,8,0.032016,0.006032
1,9,0.023901,0.005753
1,10,0.025048,0.005838
1,11,0.025438,0.005845
1,12,0.024214,0.005818
1,13,0.023764,0.005736
1,14,0.024913,0.005835
1,15,0.023905,0.005685
1,16,0.023761,0.005663
1,17,0.023921,0.005636
1,18,0.023484,0.005658
1,19,0.023817,0.005615
1,20,0.023635,0.005641
1,21,0.023576,0.005609
1,22,0.023649,0.005632
1,23,0.023755,0.005617
1,24,0.023518,0.005627
1,25,0.023491,0.005644
1,26,0.023690,0.005624
1,27,0.023626,0.005636
1,28,0.023289,0.005604
1,29,0.023473,0.005659
1,30,0.023493,0.005665
1,31,0.023613,0.005634
1,32,0.023675,0.005665
1,33,0.023783,0.005629
1,34,0.023527,0.005645
1,35,0.023570,0.005617
1,36,0.023493,0.005631
1,37,0.023192,0.005673
1,38,0.023477,0.005634
1,39,0.023597,0.005620
1,40,0.023311,0.005651
1,41,0.023144,0.005626
1,42,0.023098,0.005639
1,43,0.023433,0.005661
1,44,0.023190,0.005582
1,45,0.024627,0.005809
1,46,0.023740,0.005754
1,47,0.023844,0.005946
1,48,0.023456,0.006330
1,49,0.024080,0.006048
1,50,0.024408,0.005920
1,51,0.024791,0.005965
1,52,0.024365,0.005822
1,53,0.024514,0.005987
1,54,0.024306,0.005975
1,55,0.024048,0.005845
1,56,0.023913,0.005865
1,57,0.023835,0.005867
1,58,0.023750,0.005927
1,59,0.023972,0.005837
1,60,0.023810,0.005761
1,61,0.023609,0.005814
1,62,0.023542,0.005872
1,63,0.035503,0.005911
1,64,0.025826,0.006119
1,65,0.024809,0.005961
1,66,0.025977,0.006157
1,67,0.025682,0.006142
1,68,0.025836,0.006126
1,69,0.025153,0.005913
1,70,0.024327,0.005976
1,71,0.024252,0.005850
1,72,0.024278,0.005848
1,73,0.024178,0.005783
1,74,0.024301,0.005777
1,75,0.024307,0.005855
1,76,0.024528,0.005807
1,77,0.025102,0.005852
1,78,0.024711,0.005863
1,79,0.024532,0.005864
1,80,0.024956,0.005935
1,81,0.025083,0.005821
1,82,0.025238,0.005791
1,83,0.026175,0.005917
1,84,0.025149,0.005842
1,85,0.024827,0.005879
1,86,0.024564,0.005961
1,87,0.024710,0.006023
1,88,0.024997,0.006038
1,89,0.024472,0.005971
1,90,0.024622,0.005891
1,91,0.024349,0.005861
1,92,0.024598,0.005888
1,93,0.024805,0.005860
1,94,0.025145,0.006020
1,95,0.025357,0.006024
1,96,0.025154,0.005948
1,97,0.025900,0.006203
1,98,0.024791,0.005888
1,99,0.024683,0.005851
1,100,0.024281,0.005840
1,101,0.024532,0.005928
1,102,0.024374,0.005735
1,103,0.024352,0.005714
1,104,0.024266,0.005705
1,105,0.024208,0.005666
1,106,0.024049,0.005713
1,107,0.024050,0.005632
1,108,0.024361,0.005639
1,109,0.023989,0.005664
1,110,0.023968,0.005718
1,111,0.024429,0.005722
