nbp,iteration,calc_transfer_s
5,0,0.126580
5,1,0.140599
5,2,0.148311
5,3,0.132319
5,4,0.125953
5,5,0.122303
5,6,0.133517
5,7,0.131181
5,8,0.125433
5,9,0.122829
5,10,0.127403
5,11,0.119620
5,12,0.128003
5,13,0.120924
5,14,0.119465
5,15,0.132246
5,16,0.124476
5,17,0.115220
5,18,0.127701
5,19,0.125057
5,20,0.120536
5,21,0.128321
5,22,0.120696
5,23,0.120349
5,24,0.135841
5,25,0.130190
5,26,0.129946
5,27,0.129001
5,28,0.137104
5,29,0.117414
5,30,0.128457
5,31,0.127778
5,32,0.118692
5,33,0.132901
5,34,0.135582
5,35,0.120124
5,36,0.121793
5,37,0.122156
5,38,0.119301
5,39,0.145783
5,40,0.123987
5,41,0.120213
5,42,0.136606
5,43,0.126132
5,44,0.125045
5,45,0.119981
5,46,0.131631
5,47,0.135700
5,48,0.121475
5,49,0.125688
5,50,0.139175
5,51,0.124896
5,52,0.132943
5,53,0.131266
5,54,0.126457
5,55,0.131406
5,56,0.125370
5,57,0.128035
5,58,0.142510
5,59,0.136025
5,60,0.145188
5,61,0.131557
5,62,0.139855
5,63,0.126841
5,64,0.132064
5,65,0.134115
5,66,0.130053
5,67,0.124861
5,68,0.132342
5,69,0.127389
5,70,0.130800
5,71,0.123690
5,72,0.131235
5,73,0.137267
5,74,0.121326
5,75,0.124295
5,76,0.129646
5,77,0.126488
5,78,0.134329
5,79,0.137637
5,80,0.135260
5,81,0.131760
5,82,0.134150
5,83,0.126943
5,84,0.134787
5,85,0.124141
5,86,0.125050
5,87,0.125421
5,88,0.137134
5,89,0.137789
5,90,0.124459
5,91,0.140534
5,92,0.123218
5,93,0.122687
5,94,0.130746
5,95,0.138405
5,96,0.138166
5,97,0.139451
5,98,0.131985
5,99,0.140124
5,100,0.132534
5,101,0.132583
5,102,0.128806
5,103,0.132881
5,104,0.138941
5,105,0.133841
5,106,0.128822
5,107,0.130352
5,108,0.118205
5,109,0.134160
5,110,0.129908
5,111,0.123170
5,112,0.128047
5,113,0.130513
5,114,0.135023
5,115,0.121447
5,116,0.131017
5,117,0.128040
5,118,0.132581
5,119,0.127257
5,120,0.137664
5,121,0.124987
5,122,0.127089
5,123,0.124408
5,124,0.132007
5,125,0.131787
5,126,0.130315
5,127,0.135878
5,128,0.125964
5,129,0.136694
5,130,0.127028
5,131,0.127863
5,132,0.137625
5,133,0.142688
5,134,0.128356
5,135,0.125768
5,136,0.127207
5,137,0.131842
5,138,0.140524
5,139,0.129089
5,140,0.126647
5,141,0.125415
5,142,0.135515
5,143,0.134319
5,144,0.134871
5,145,0.140076
5,146,0.125277
5,147,0.130328
5,148,0.134381
5,149,0.139728
5,150,0.142362
5,151,0.133563
5,152,0.125482
5,153,0.142223
5,154,0.129764
5,155,0.130943
5,156,0.134737
5,157,0.136068
5,158,0.134283
5,159,0.138308
5,160,0.127203
5,161,0.124610
5,162,0.131169
5,163,0.124727
5,164,0.141716
5,165,0.130785
5,166,0.130468
5,167,0.120520
5,168,0.136835
5,169,0.130083
5,170,0.127705
5,171,0.135853
5,172,0.131370
5,173,0.136561
5,174,0.131931
5,175,0.129155
5,176,0.126419
5,177,0.134150
5,178,0.125322
5,179,0.142167
5,180,0.125008
5,181,0.130329
5,182,0.131371
5,183,0.127494
5,184,0.136127
5,185,0.133664
5,186,0.135595
5,187,0.129744
5,188,0.128080
5,189,0.136777
5,190,0.131116
5,191,0.135196
5,192,0.135099
5,193,0.130990
5,194,0.128190
5,195,0.126289
5,196,0.133841
5,197,0.134013
5,198,0.131956
