nbp,iteration,calc_transfer_s
6,0,0.000075
6,1,0.014965
6,2,0.034393
6,3,0.004694
6,4,0.047178
6,5,0.000014
6,6,0.050335
6,7,0.004210
6,8,0.050072
6,9,0.000018
6,10,0.049021
6,11,0.000602
6,12,0.049516
6,13,0.002426
6,14,0.050126
6,15,0.003276
6,16,0.050181
6,17,0.003387
6,18,0.050539
6,19,0.002543
6,20,0.050883
6,21,0.002429
6,22,0.051508
6,23,0.002580
6,24,0.050812
6,25,0.002536
6,26,0.048989
6,27,0.002809
6,28,0.050915
6,29,0.004559
6,30,0.057545
6,31,0.001794
6,32,0.051021
6,33,0.002722
6,34,0.050744
6,35,0.002055
6,36,0.051379
6,37,0.002851
6,38,0.050577
6,39,0.003572
6,40,0.048970
6,41,0.002393
6,42,0.049271
6,43,0.002802
6,44,0.046221
6,45,0.005225
6,46,0.044527
6,47,0.007267
6,48,0.046237
6,49,0.004499
6,50,0.049154
6,51,0.002685
6,52,0.048730
6,53,0.002102
6,54,0.047966
6,55,0.002669
6,56,0.048777
6,57,0.002278
6,58,0.052500
6,59,0.035411
6,60,0.022708
6,61,0.035460
6,62,0.017242
6,63,0.038707
6,64,0.011772
6,65,0.047654
6,66,0.003448
6,67,0.050447
6,68,0.008886
6,69,0.044880
6,70,0.006010
6,71,0.046110
6,72,0.002549
6,73,0.049721
6,74,0.002504
6,75,0.061346
6,76,0.004967
6,77,0.055464
6,78,0.008855
6,79,0.055153
6,80,0.006159
6,81,0.045796
6,82,0.002580
6,83,0.044221
6,84,0.004369
6,85,0.047852
6,86,0.002115
6,87,0.043479
6,88,0.005399
6,89,0.044967
6,90,0.003484
6,91,0.048689
6,92,0.001874
6,93,0.048270
6,94,0.001916
6,95,0.045518
6,96,0.002868
6,97,0.043595
6,98,0.005299
6,99,0.047506
6,100,0.002402
6,101,0.049160
6,102,0.002017
6,103,0.048094
6,104,0.002162
6,105,0.045878
6,106,0.002754
6,107,0.045174
6,108,0.003442
6,109,0.048254
6,110,0.001712
6,111,0.047735
6,112,0.002662
6,113,0.049143
6,114,0.002458
6,115,0.049244
6,116,0.002804
6,117,0.044689
6,118,0.004387
6,119,0.043835
6,120,0.005668
6,121,0.047116
6,122,0.001535
6,123,0.048408
6,124,0.002618
6,125,0.044187
6,126,0.005081
6,127,0.048027
6,128,0.002623
6,129,0.048098
6,130,0.003352
6,131,0.051624
6,132,0.003176
6,133,0.048700
6,134,0.002988
6,135,0.045208
6,136,0.003589
6,137,0.048455
6,138,0.004500
6,139,0.048074
6,140,0.002656
6,141,0.052623
6,142,0.002280
6,143,0.044745
6,144,0.004114
6,145,0.048623
6,146,0.002444
6,147,0.046927
6,148,0.001730
6,149,0.048404
6,150,0.002217
6,151,0.048985
6,152,0.002047
6,153,0.046950
6,154,0.003111
6,155,0.048421
6,156,0.003056
6,157,0.048010
6,158,0.001810
6,159,0.048353
6,160,0.002168
6,161,0.046973
6,162,0.001852
6,163,0.048913
6,164,0.002475
6,165,0.044962
6,166,0.003984
6,167,0.043605
6,168,0.005796
6,169,0.043808
6,170,0.005505
6,171,0.047703
6,172,0.001677
6,173,0.044547
6,174,0.004048
6,175,0.048036
6,176,0.002224
6,177,0.045512
6,178,0.002513
6,179,0.048462
6,180,0.002691
6,181,0.048912
6,182,0.002228
6,183,0.046979
6,184,0.002717
6,185,0.044219
6,186,0.004483
6,187,0.044547
6,188,0.004395
6,189,0.046861
6,190,0.002123
6,191,0.046408
6,192,0.002620
6,193,0.049023
6,194,0.002067
6,195,0.047903
6,196,0.002853
6,197,0.043633
6,198,0.004567
