nbp,iteration,calc_transfer_s
2,0,0.000891
2,1,0.037406
2,2,0.076185
2,3,0.073014
2,4,0.064643
2,5,0.064688
2,6,0.063731
2,7,0.063555
2,8,0.063413
2,9,0.063796
2,10,0.060714
2,11,0.063435
2,12,0.064194
2,13,0.063324
2,14,0.000014
2,15,0.000030
2,16,0.079866
2,17,0.063287
2,18,0.063272
2,19,0.067628
2,20,0.064428
2,21,0.064441
2,22,0.064818
2,23,0.065482
2,24,0.064923
2,25,0.065551
2,26,0.064761
2,27,0.065493
2,28,0.064593
2,29,0.067253
2,30,0.065025
2,31,0.064569
2,32,0.065694
2,33,0.064636
2,34,0.064634
2,35,0.064511
2,36,0.064322
2,37,0.119191
2,38,0.067525
2,39,0.066248
2,40,0.065573
2,41,0.066853
2,42,0.065220
2,43,0.066776
2,44,0.065116
2,45,0.065821
2,46,0.065278
2,47,0.064318
2,48,0.065776
2,49,0.065063
2,50,0.064993
2,51,0.064920
2,52,0.065025
2,53,0.065727
2,54,0.064824
2,55,0.064358
2,56,0.067234
2,57,0.065473
2,58,0.064689
2,59,0.064111
2,60,0.064063
2,61,0.064430
2,62,0.064026
2,63,0.063915
2,64,0.063973
2,65,0.064172
2,66,0.063889
2,67,0.064214
2,68,0.065461
2,69,0.064287
2,70,0.064311
2,71,0.064128
2,72,0.064208
2,73,0.069344
2,74,0.066600
2,75,0.065397
2,76,0.065306
2,77,0.064855
2,78,0.067041
2,79,0.064948
2,80,0.064920
2,81,0.065541
2,82,0.066380
2,83,0.065343
2,84,0.064424
2,85,0.064247
2,86,0.064390
2,87,0.063862
2,88,0.063728
2,89,0.063768
2,90,0.063921
2,91,0.063915
2,92,0.063815
2,93,0.063786
2,94,0.063864
2,95,0.063932
2,96,0.063765
2,97,0.065002
2,98,0.064582
2,99,0.064285
2,100,0.064294
2,101,0.064201
2,102,0.064242
2,103,0.064351
2,104,0.064007
2,105,0.064071
2,106,0.063744
2,107,0.064037
2,108,0.064053
2,109,0.063910
2,110,0.063884
2,111,0.064015
2,112,0.063949
2,113,0.063879
2,114,0.063911
2,115,0.064126
2,116,0.063831
2,117,0.063734
2,118,0.063973
2,119,0.064022
2,120,0.063932
2,121,0.063849
2,122,0.063830
2,123,0.064043
2,124,0.063921
2,125,0.063668
2,126,0.063559
2,127,0.064114
2,128,0.063784
2,129,0.063993
2,130,0.063654
2,131,0.063569
2,132,0.063828
2,133,0.063991
2,134,0.065515
2,135,0.073752
2,136,0.064700
2,137,0.065164
2,138,0.064729
2,139,0.064639
2,140,0.065528
2,141,0.065582
2,142,0.075023
2,143,0.065164
2,144,0.065935
2,145,0.064942
2,146,0.064752
2,147,0.067767
2,148,0.065439
2,149,0.064578
2,150,0.064443
2,151,0.064053
2,152,0.063934
2,153,0.064094
2,154,0.063835
2,155,0.063720
2,156,0.063856
2,157,0.065222
2,158,0.064288
2,159,0.064429
2,160,0.067766
2,161,0.066647
2,162,0.066310
2,163,0.066544
2,164,0.066213
2,165,0.066979
2,166,0.065182
2,167,0.066264
2,168,0.066355
2,169,0.091126
2,170,0.067749
2,171,0.105109
2,172,0.066851
2,173,0.069506
2,174,0.066990
2,175,0.066781
2,176,0.067421
2,177,0.066537
2,178,0.067730
2,179,0.069041
2,180,0.068503
2,181,0.067965
2,182,0.065264
2,183,0.066142
2,184,0.066319
2,185,0.066146
2,186,0.066778
2,187,0.066207
2,188,0.066656
2,189,0.067257
2,190,0.067030
2,191,0.066139
2,192,0.065369
2,193,0.066467
2,194,0.065513
2,195,0.065934
2,196,0.064926
2,197,0.065462
2,198,0.065732
