nbp,iteration,calc_transfer_s
3,0,0.000102
3,1,0.016799
3,2,0.034988
3,3,0.000029
3,4,0.051477
3,5,0.004413
3,6,0.066144
3,7,0.009097
3,8,0.039743
3,9,0.010792
3,10,0.040193
3,11,0.010526
3,12,0.042910
3,13,0.006294
3,14,0.044467
3,15,0.004603
3,16,0.049030
3,17,0.002440
3,18,0.049103
3,19,0.002496
3,20,0.048848
3,21,0.002438
3,22,0.048794
3,23,0.002447
3,24,0.048845
3,25,0.002446
3,26,0.048802
3,27,0.002548
3,28,0.048749
3,29,0.002571
3,30,0.048656
3,31,0.002486
3,32,0.048702
3,33,0.002589
3,34,0.048727
3,35,0.002460
3,36,0.048864
3,37,0.002442
3,38,0.048855
3,39,0.002493
3,40,0.048775
3,41,0.002459
3,42,0.048850
3,43,0.002468
3,44,0.048857
3,45,0.002520
3,46,0.048687
3,47,0.002412
3,48,0.053196
3,49,0.002374
3,50,0.046695
3,51,0.002414
3,52,0.049009
3,53,0.002420
3,54,0.048947
3,55,0.002441
3,56,0.048885
3,57,0.002396
3,58,0.048803
3,59,0.002549
3,60,0.048733
3,61,0.002506
3,62,0.048878
3,63,0.002410
3,64,0.048987
3,65,0.002435
3,66,0.048961
3,67,0.002519
3,68,0.048843
3,69,0.002388
3,70,0.049054
3,71,0.002480
3,72,0.048865
3,73,0.002384
3,74,0.048856
3,75,0.002463
3,76,0.048658
3,77,0.002444
3,78,0.049219
3,79,0.002502
3,80,0.048839
3,81,0.002496
3,82,0.048873
3,83,0.002486
3,84,0.048865
3,85,0.002414
3,86,0.048728
3,87,0.002439
3,88,0.048884
3,89,0.002467
3,90,0.048826
3,91,0.002548
3,92,0.048775
3,93,0.002470
3,94,0.048699
3,95,0.002443
3,96,0.048854
3,97,0.002461
3,98,0.047077
3,99,0.002435
3,100,0.048827
3,101,0.002419
3,102,0.045631
3,103,0.003057
3,104,0.048310
3,105,0.002466
3,106,0.048830
3,107,0.002453
3,108,0.048840
3,109,0.002448
3,110,0.048892
3,111,0.002491
3,112,0.048882
3,113,0.002435
3,114,0.048932
3,115,0.002448
3,116,0.048834
3,117,0.002510
3,118,0.048857
3,119,0.002607
3,120,0.048766
3,121,0.002465
3,122,0.048814
3,123,0.002545
3,124,0.048718
3,125,0.002449
3,126,0.048853
3,127,0.002380
3,128,0.048945
3,129,0.002435
3,130,0.048925
3,131,0.002463
3,132,0.048900
3,133,0.002514
3,134,0.046994
3,135,0.002421
3,136,0.048937
3,137,0.002448
3,138,0.048840
3,139,0.002422
3,140,0.047845
3,141,0.002502
3,142,0.048971
3,143,0.002457
3,144,0.048881
3,145,0.002503
3,146,0.048846
3,147,0.002475
3,148,0.048807
3,149,0.002476
3,150,0.048839
3,151,0.002414
3,152,0.044318
3,153,0.004673
3,154,0.048948
3,155,0.002380
3,156,0.048827
3,157,0.002370
3,158,0.048840
3,159,0.002532
3,160,0.048704
3,161,0.002506
3,162,0.048825
3,163,0.002494
3,164,0.048796
3,165,0.002472
3,166,0.048822
3,167,0.002486
3,168,0.048845
3,169,0.002449
3,170,0.048813
3,171,0.002441
3,172,0.049129
3,173,0.002416
3,174,0.045690
3,175,0.002755
3,176,0.048512
3,177,0.002402
3,178,0.045143
3,179,0.003694
3,180,0.048746
3,181,0.002422
3,182,0.048760
3,183,0.002400
3,184,0.048828
3,185,0.002480
3,186,0.048816
3,187,0.002443
3,188,0.048916
3,189,0.002457
3,190,0.048772
3,191,0.002425
3,192,0.048832
3,193,0.002448
3,194,0.048895
3,195,0.002432
3,196,0.048780
3,197,0.002454
3,198,0.048802
