nbp,iteration,calc_transfer_s
4,0,0.000888
4,1,0.005924
4,2,0.039379
4,3,0.042037
4,4,0.047894
4,5,0.041521
4,6,0.040983
4,7,0.041508
4,8,0.040336
4,9,0.038393
4,10,0.041980
4,11,0.040800
4,12,0.037431
4,13,0.039627
4,14,0.037925
4,15,0.037844
4,16,0.038787
4,17,0.040383
4,18,0.039277
4,19,0.038227
4,20,0.037646
4,21,0.037742
4,22,0.041637
4,23,0.040773
4,24,0.039469
4,25,0.036486
4,26,0.041178
4,27,0.040426
4,28,0.041626
4,29,0.037858
4,30,0.036644
4,31,0.047514
4,32,0.046323
4,33,0.045065
4,34,0.037634
4,35,0.039538
4,36,0.044230
4,37,0.040741
4,38,0.037841
4,39,0.038124
4,40,0.042793
4,41,0.036689
4,42,0.044061
4,43,0.043165
4,44,0.036810
4,45,0.042574
4,46,0.041900
4,47,0.042388
4,48,0.038539
4,49,0.047314
4,50,0.039929
4,51,0.038071
4,52,0.038065
4,53,0.044854
4,54,0.039171
4,55,0.038097
4,56,0.037877
4,57,0.042378
4,58,0.038414
4,59,0.037421
4,60,0.038457
4,61,0.039974
4,62,0.040340
4,63,0.038008
4,64,0.043351
4,65,0.039559
4,66,0.041370
4,67,0.044699
4,68,0.041204
4,69,0.040259
4,70,0.036585
4,71,0.048736
4,72,0.039459
4,73,0.039800
4,74,0.038812
4,75,0.047271
4,76,0.038380
4,77,0.038969
4,78,0.038776
4,79,0.045864
4,80,0.046027
4,81,0.043639
4,82,0.041224
4,83,0.046998
4,84,0.040622
4,85,0.041916
4,86,0.041182
4,87,0.045305
4,88,0.042021
4,89,0.045914
4,90,0.037362
4,91,0.047888
4,92,0.038323
4,93,0.039479
4,94,0.037686
4,95,0.042029
4,96,0.038954
4,97,0.045420
4,98,0.044260
4,99,0.044446
4,100,0.045997
4,101,0.039125
4,102,0.040720
4,103,0.045949
4,104,0.041508
4,105,0.052654
4,106,0.038882
4,107,0.044561
4,108,0.042442
4,109,0.041353
4,110,0.042605
4,111,0.042313
4,112,0.038773
4,113,0.042668
4,114,0.044891
4,115,0.042125
4,116,0.040886
4,117,0.041972
4,118,0.042305
4,119,0.053514
4,120,0.043744
4,121,0.038353
4,122,0.039899
4,123,0.039695
4,124,0.039621
4,125,0.040635
4,126,0.038396
4,127,0.042543
4,128,0.044144
4,129,0.038005
4,130,0.048009
4,131,0.042673
4,132,0.042449
4,133,0.040925
4,134,0.042821
4,135,0.043211
4,136,0.040575
4,137,0.038717
4,138,0.043816
4,139,0.042803
4,140,0.041163
4,141,0.045351
4,142,0.044842
4,143,0.050652
4,144,0.043463
4,145,0.044427
4,146,0.042608
4,147,0.040812
4,148,0.042646
4,149,0.044600
4,150,0.043773
4,151,0.043771
4,152,0.040950
4,153,0.038695
4,154,0.043487
4,155,0.036052
4,156,0.053596
4,157,0.050566
4,158,0.047453
4,159,0.056499
4,160,0.059086
4,161,0.058876
4,162,0.046271
4,163,0.042346
4,164,0.049297
4,165,0.041859
4,166,0.043983
4,167,0.044129
4,168,0.039847
4,169,0.047822
4,170,0.043172
4,171,0.040801
4,172,0.042625
4,173,0.042163
4,174,0.048620
4,175,0.057232
4,176,0.038216
4,177,0.039190
4,178,0.045131
4,179,0.041583
4,180,0.043071
4,181,0.049233
4,182,0.045866
4,183,0.042629
4,184,0.046133
4,185,0.040415
4,186,0.041693
4,187,0.045196
4,188,0.041702
4,189,0.049306
4,190,0.039325
4,191,0.042940
4,192,0.042202
4,193,0.042428
4,194,0.042055
4,195,0.047763
4,196,0.040371
4,197,0.043430
4,198,0.047596
